course,code,description
Methodology in instrumental chromatography,CH-405,See content below please
Methods for rapid production and development,ME-415,"The state of the art in the domain of additive production processes (the part is built by material addition without use of a shape tool) will be presented. The main application/benefits/shortcomings of thecommon additive processes as well as techological and economical issues will be discussed."
Metrology I,PHYS-458,"This course is a practical introduction to classical measurement techniques in a physics laboratory. The aim is to familiarise the students with data acquisition, sensors, signal processing, vacuum and cryogenics.  "
Metrology II,PHYS-459,"This course is a practical introduction to classical measurement techniques in a laboratory. The aim is to familiarise the students with data acquisition, sensors, signal processing, vacuum technology, automatic control. Some experiments of materials science are chosen as examples."
Micro and nanostructuration of materials,MSE-461,"This course gives an introduction to micro and nano structuration of materials, mainly of thin films. The mastering of patterning techniques is a core competence to establish technology for communication and informatics.  The fast advancement in this field requires an almost annual update. "
Microbiologie pour l'ingÈnieur,ENV-202,This course covers the fundamental microbial processes that take place in the environment and in specific engineered compartments. It represents the major cycles that are carried out by microorganisms and that impact planet Earth. 
Microbiology,BIO-372,This course will provide an introduction to fundamental concepts in microbiology. Special emphasis will be given to the surprising and often counter-intuitive physical world inhabited by microorganisms.
MicrocontrÙleurs,MICRO-210,"Microcontrollers covers the internal operation of a microcontroller, basic notions of microprocessor architecture and computer systems as well as microcontroller interfaces and serial communication protocols."
MicrocontrÙleurs et conception de systËmes numÈriques,EE-208,"Microcontrollers and digital systems design covers the internal operation of a microcontroller, basic notions of microprocessor architecture and computer systems as well as microcontroller interfaces and serial communication protocols."
Microelectronics,MICRO-432,Analysis of the relationship between the structure of the main microelectronic devices and their electrical characteristics and explanation of the role and behavior of the systems studied in an integrated circuit. Evolution of technology and microelectronic components.
Microinformatique (pour GM),ME-303,"Understand Microcontrollers and learn to use them, especially for mechanical systems."
Microinformatique (pour MT),MICRO-315,"This course gives insights on embedded systems programming, DSP concepts and use, and basic concepts on object oriented programming"
Microwaves,EE-445,This course is n introduction to microwaves and microwave passive circuits. A special attention is given to the introduction of the notion of distributed circuits and to the scattering matrix
Milieux continus,MSE-203,"In this course, the tools to describe the materials not at the atom level but as a continuum are presented. The stress and deformation tensors, the conservation laws (mass, energy, momentum), the linear elasticity and the Newtonian flow are treated using examples of practical applications."
Mobile networks,COM-405,This course provides a detailed description of the organization and operating principles of mobile communication networks.
Mobile robots,MICRO-452,"The course teaches the basics of autonomous mobile robots. Both hardware (energy, locomotion, sensors) and software (signal processing, control, localization, trajectory planning, high-level control) will be tackled. The students will apply the knowledge to program and control†quad rotors."
ModËles stochastiques pour les communications,COM-300,"The goal of this class is to acquire a working knowledge of the tools of random processes used by an engineer in communication, data science and computer science."
Modeling and simulation of microsystems,MICRO-402,"Students will learn how to analyze a problem, identify the relevant parameters, build a simple model and/or a more complex discretized problem, solve it using computing power and extract the relevant parameters from the simulation."
Modeling of emerging electron devices,EE-537,"The course aims at modelling the most relevant semiconductor devices that will be used in nanoelectronics, such as multigates and junction-less transistors. Starting from the basis, we will focus on various analytical approaches in order to explain in detail how these devices work."
ModÈlisation des matÈriaux,MSE-370,"This course presents the numerical simulation methods used in the modeling of problems associated with materials processing, the microstructure formation and the behavior of materials. The emphasis is on the finite difference and finite element methods."
ModÈlisation des systËmes de transports,CIVIL-446,Introduction to key elements of the modeling of urban and interurban transport systems. Introduction to the EMME/4 planning tool and implementation of this tool in the case of Lausanne-Morges agglomeration.
ModÈlisation des systËmes ÈnergÈtiques,CIVIL-447,In order to meet the energy demand for a country or a given region it is necessary to represent the energy system as a whole taking into account different interactions. This course concerns the modeling of a global energy system with the purpose of evaluating energy strategies.
ModÈlisation et reprÈsentation informatique I,AR-411,"Between art and science, we shall establish the link between theory of representation and computer generated images and animations.We shall also go through some practical examples in production of movies and images. "
ModÈlisation et reprÈsentation informatique II,AR-412,"Between art and science, we shall establish the link between theory of representation and computer generated images and animations.We shall also go through some practical examples in production of movies and images."
ModÈlisation et simulation par ÈlÈments finis,ME-373,The objective of this course is to learn how to carry out rigorous and critical finite element analyzes of realistic problems in solid mechanics using state-of-the-art CAE software.
ModÈlisation mathÈmatique et computationnelle en biologie,BIO-341,"This course introduces dynamical systems theory for modeling simple biological networks, e.g. gene circuits or population dynamics. Qualitative analysis of non-linear dynamical models will be developed together with simulations. The focus is on  biological examples."
ModÈlisation numÈrique des solides et structures,CIVIL-321,"Solids and structures numerical modeling  is addressed through the finite-element method. Purely analytic aspects are first presented, before describing numerical interpolation, integration and resolution of solid mechanics problems by using various finite element types."
Modelling and optimization of energy systems,ME-454,"The goal of the lecture is to present and apply techniques for the modelling and the thermo-economic optimisation of industrial process and energy systems. The lecture covers the problem statement, the solving methods for the simulation and the single and multi-objective optimisation problems."
"Modelling problem solving, computing and visualisation I",MSE-443(a),"The course will cover programming, numerical simulation, and visualization methods using Mathematica software.  Students will be able to apply these skills to their currrent coursework, and prepared for the companion course (MSE 443(b)) which covers advanced materials science modeling."
"Modelling problem solving, computing and visualisation II",MSE-443(b),"Covers development and design of models for materials processes and structure-property relations. Emphasizes techniques for solving equations from models or simulating and visualizing behavior. Topics include symmetry, structure,  thermodynamics, solid state physics, mechanics, and data analysis."
Model predictive control,ME-425,"Provide an introduction to the theory and practice of Model Predictive Control (MPC). Main benefits of MPC: flexible specification of time-domain objectives, performance optimization of highly complex multivariable systems and ability to explicitly enforce constraints on system behavior. "
Molecular and cellular biophysic I,CH-311,"This course covers the basic biophysical principles governing the thermodynamic and kinetic properties of biomacromolecules involved in chemical processes of life.The course is held in English."
Molecular and cellular biophysic II,CH-312,"In this course we will discuss advanced biophysical topics using classical and current literature, building on the framework established in the course Molecular and Cellular Biophysics I. The course is held in English."
Molecular endocrinology,BIO-450,We will define the concept of homeostasis and principles of hormone action and the molecular mechanisms underlying them. Interactions with the environment and pertinent public health issues will be analyzed.
Molecular quantum dynamics ,CH-453,"The course covers several exact, approximate, and numerical methods to solve the time-dependent molecular Schrˆdinger equation, and applications including calculations of molecular electronic spectra. More advanced topics include introduction to the semiclassical methods and Feynman path integral."
Multi-body simulation,ME-475,"The objective of this course is to introduce to the student the basic computer-aided concepts, models, algorithms and methods for the kinematic and dynamic analysis of multi-body systems, specifically designed for mobility."
Multidisciplinary organization of medtechs/biotechs,BIO-430,"This course introduces students to situations they will encounter in their future careers as project managers, executive or business leaders. "
Multi-phase flow,ETH-434,
Multivariable control and coordination systems,EE-477,"The objective is to enable students to design advanced solutions for the control and the coordination of distributed dynamic systems, such as production or distribution energy systems, as well as intelligent transportation systems."
Multivariate statistics,MATH-444,"Multivariate statistics deals with data consisting of vectors, where each observation is made on a collection of variables.Uncovering the associations between these variables is the main objective. The course teaches methods, some old,some new, that were developed for the analysis of such data."
Musicologie et histoire de la musique A,HUM-242,"Recount the historical practices of improvisation from early music of the Renaissance to present modern day. Understand and analyze the various contexts, styles, musical genres in which improvisation is at the forefront. Know some of the major works from the classical repertory and the treatises."
Musicologie et histoire de la musique B,HUM-217,"Recount the history of musical styles practised in the 20th century. Understand and analyze the various contexts, musical languages and the currents of ideas. Know some of the major works of the classical repertory of the 20th century as well as the main writings : theoretical and educational."
Musicologie et histoire de la musique C,HUM-313,"Analyze the presence of Jazz in western music from the 19th century. Understand the various contexts, styles, languages of the works in which Jazz occupies a special place. Know the important works of the classic directory."
Musicologie et histoire de la musique D,HUM-364,Recount the history of the concerto from the 17th century to our days. Understand and analyze the various styles and musical and social contexts in which the concerto evolves. Know the major works belonging to this musical genre and distinguish the various characteristics.
"Musique, politique, sociÈtÈ I",HUM-406(a),"This course analyzes the western musical repertoire allying humor, funny and serious. It leads to group written projects (or individual projects) on a specific topic related to this issue."
"Musique, politique, sociÈtÈ II",HUM-406(b),"This course analyzes the western musical repertoire allying humor, funny and serious. It leads to group written projects (or individual projects) on a specific topic related to this issue."
Mythes de la MÈditerranÈe ancienne I,HUM-419(a),"The course explores the myths and the main texts of ancient cultures (Biblical World, Greece, Rome, Egypt). Exploring their meanings, their receptions, it helps us better understand the heterogeneous nature of our own culture."
Mythes de la MÈditerranÈe ancienne II,HUM-419(b),"The course explores the myths and the main texts of ancient cultures (Biblical World, Greece, Rome, Egypt). Exploring their meanings, their receptions, it helps us better understand the heterogeneous nature of our own culture."
Nano/Advanced MEMS practicals,MICRO-503,
Nanobiotechnology and biophysics,CH-413,"This course concerns modern bioanalytical techniques to investigate biomolecules both in vitro and in vivo, including recent methods to image, track and manipulate single molecules. We cover the basic principles of the respective methods and discuss examples from the current scientific literature."
Nanoelectronics,EE-535,"This lecture overviews and discusses the last trends in the technology and principles of nanoelectronic devices for more aggressive scaling, better performances, added functionalities and lower energy per function. The opportunities of these advances compared to industrial roadmaps are analized."
Nanotechnology,MICRO-530,"This course gives the basics for understanding and engineering nanotechnology: physical background, materials, structuration and analysis."
Negotiation techniques,MGT-466,"The course presents the process of negotiation, two principle strategies and the tactics involved in successfully enacting them. It will also show how cultural differences impact the process of negotiation and what strategies to expect from different cultural groups"
Networks out of control,COM-512,"The goal of this class is to acquire mathematical tools and engineering insight about networks whose structure is random, as well as decentralized processes that take place on these networks."
Neuroscience for engineers,BIO-382,This optional course provides students who consider a specialization in Neuroengineering during their Master with a very broad overview of the many practical applications in the field. It should ensure these students to be well informed when choosing their specialization.
Neurosciences II : cellular mechanisms of brain function,BIO-482,This lecture course focuses on the cellular mechanisms of mammalian brain function. We will describe how neurons communicate through synaptic transmission in order to process sensory information ultimately leading to motor behavior.
Neurosciences III : behavioral and cognitive neuroscience,BIO-483,The goal is to guide students into the essential topics of Behavioral and Cognitive Neuroscience. The challenge for the student in this course is to integrate the diverse knowledge acquired from those levels of analysis into a more or less coherent understanding of brain structure and function.
Neurosciences I : molecular neuroscience and neurodegeneration,BIO-480,The goal of the course is to guide students through the essential aspects of molecular neuroscience and neurodegenerative diseases. The student will gain the ability to dissect the molecular basis of disease in the nervous system in order to begin to understand and identify therapeutic strategies.
Neutronics,PHYS-443,"In this course, one acquires an understanding of the basic neutronics interactions occurring in a nuclear fission reactor and, as such, the conditions for establishing and controlling a nuclear chain reaction."
New tools and research strategies in personalized medicine,BIO-491,"We will define the concept of personalized health, describe the underlying technologies, the technological, legal and ethical challenges that the field faces today, and how they are being met."
Non linear analysis of structures,CIVIL-449,"This course deals with the nonlinear modelling and analysis of structures when subjected to monotonic, cyclic, and dynamic loadings, focusing in particular on the seismic response of structures. It introduces solution methods for nonlinear static and dynamic problems."
Nuclear Computations Lab,ETH-531,To aquire hands-on experience with the running of large computer codes in relation to the static analysis of nuclear reactor cores and the multi-physics simulation of nuclear power plant (NPP) dynamic behaviour
Nuclear Energy Systems,ETH-401,
Nuclear Fuels & Materials,ETH-402,
Nuclear fusion and plasma physics,PHYS-445,"The goal of the course is to provide the physics and technology basis  for controlled fusion research, from the main elements of plasma physics to the reactor concepts."
Nuclear magnetic resonance,CH-409,"Principles and practice of modern nuclear magnetic resonance spectroscopy. NMR is today the most powerful spectroscopic method to determine the structure of molecules and materials, in physics, chemistry, biology or medicine."
Number theory in cryptography,MATH-489,The goal of the course is to introduce basic notions from public key cryptography (PKC) as well as basic number-theoretic methods and algorithms for cryptanalysis of protocols and schemes based on PKC. 
Numerical Analysis and Computational Mathematics,MATH-456,The course provides an introduction to scientific computing. Several numerical methods are presented for the computer solution of mathematical problems arising in different applications. The software MATLAB is used to solve the problems and verify the theoretical properties of the numerical methods.
Numerical approximation of PDE's I,MATH-451,The aim of the course is to give a theoretical and practical knowledge of the finite element method for two and three dimensional elliptic and mixed partial differential equations.
Numerical approximation of PDE's II,MATH-457,"A priori and a posteriori error estimates of numerical methods for elliptic, parabolic and hyperbolic pdes. Adaptive algorithms."
Numerical flow simulation,ME-474,"This course provides practical experience in the numerical simulation of fluid flows, comprising the three fundamental phases of pre-processing (geometry and mesh creation), computation (choice of physical models & numerical methods), and post-processing (quantitative analysis and visualization)."
Numerical integration of dynamical systems,MATH-452,"In this course we will introduce and study numerical integrators for multi-scale (or stiff) differential equations and dynamical systems with special geometric structures (symplecticity, reversibility, first integrals, etc.). These numerical methods are important for many applications."
Numerical integration  of stochastic differential equations,MATH-450,In this course we will introduce and study numerical integrators for stochastic differential equations. These numerical methods are important for many applications.
Numerical methods for conservation laws,MATH-459,"Introduction to the development, analysis, and application of computational methods for solving conservation laws with an emphasis on finite volume, high-order essentially non-oscillatory schemes, and discontinuous Galerkin methods."
Numerical methods for electromagnetics,MATH-468,The aim of the course is to give a theoretical and practical knowledge of the finite element method for electromagnetics problems both in static and time harmonic regime.
Numerical methods for visual computing,CS-328,"Visual computing disciplines are characterized by their reliance on numerical algorithms to process large amounts of visual information such as geometry, images, and volume data. This course will familiarize students with a range of essential numerical tools to solve practical problems in this area"
Numerical methods in biomechanics,ME-484,"Students understand and apply numerical methods (FEM) to answer a research question in biomechanics. They know how to develop, verify and validate multi-physics and multi-scale numerical models. They can analyse and comment results in an oral presentation and a written report."
Numerical methods in chemistry,CH-250,This course introduces students to modern computational and mathematical techniques for solving problems in chemistry and chemical engineering. The use of introduced numerical methods will be demonstrated using the MATLAB programming language.
Numerical methods in heat transfer,ME-571,This course covers the basic aspects of the numerical discretization and solution of the fluid flow and heat transfer equations within the finite volumes framework. Emphasis is on developing a in-house solver and on utilizing opensource CFD tools for more complex flow and heat transfer problems
Nutrition: from molecules to health,BIO-441,"We will introduce the fundamentals of nutrition and its impact on human health and disease. Then we will introduce a concept and strategy termed ‚øøIntegrated systems approach‚øù, i.e. a multidisciplinary methodology to better define human health based on holistic phenotyping of human individuals."
Ondes de crue et de rupture de barrage,CIVIL-515,"The course provides computational methods for unsteady flow problems such as floods, waves, and dam failures. The emphasis is on the physical understanding of the phenomena, the governing equations (Saint-Venant equations) and aspects related to engineering practice."
Operating systems implementation,CS-323(a),Implementation of basic concepts of operating systems in Linux
Operations: economics & strategy,MGT-528,"Supply-chain management within a firm is concerned with the flow of goods and services from firms to consumers. This course provides an overview of the economic drivers and technological possibilities for designing a successful supply-chain strategy, especially in view of information flows. "
Optical communications,EE-540,"Situate and evaluate the potentialities, limits and perspectives of optical communication systems and networks.Design and dimension of photonic communication systems and networks"
Optical detectors,MICRO-523,Students analyse the fundamental characteristics of optical detectors. Thermal and photoemissive devices as well as photodiodes and infrared sensors are studied. CCD and CMOS cameras are analysed in detail. Single photon detection is explained.
Optical waves propagation,MICRO-567,Give a tool for the treatment of electromagnetic wave propagation in linear and nonlinear media.
Optics I,PHYS-317,"This three-semester course series presents the basic concepts ofclassical and modern optics. It provides the students with tools forunderstanding and analyzing optical phenomena and designing variousoptical systems."
Optics II,PHYS-318,Introduction to the basic concepts of classical and modern optics. The course provides the students with tools for understanding and analysing optical phenomena and designing various optical systems.
Optics III,PHYS-449,"Understand, design and analyze optical structures, components and systems based on Fourier techniques, optical confinement and non-linear optical response.  Prepares students for the use of such optics concepts in theoretical and experimental studies of related problems in science and engineering."
Optics laboratories I,MICRO-424,"This laboratory work allows students to deepen their understanding of optical instruments, optoelectronic devices and diagnostic methods. Students will be introduced in state of the art optical instruments and measurement principles."
Optics laboratories II,MICRO-425,"This laboratory work allows students to deepen their understanding of optical instruments, optoelectronic devices and diagnostic methods. Students will be introduced in state of the art optical instruments and measurement principles."
Optimal decision making,MGT-483,"This course introduces the theory and applications of optimization. We develop tools and concepts of optimization and decision analysis that enable managers in manufacturing, service operations, marketing, transportation and finance to transform data into insights for making better decisions."
Optional project in communication systems,COM-507,Individual research during the semester under the guidance of a professor or an assistant.
Optional project in communication systems,COM-507,Individual research during the semester under the guidance of a professor or an assistant.
Optional project in computer science,CS-596,Individual research during the semester under the guidance of a professor or an assistant.
Optional project in computer science,CS-596,Individual research during the semester under the guidance of a professor or an assistant.
Organic chemistry,MSE-211,"This course provides a basic foundation in organicchemistry and polymer chemistry, including chemical nomenclature of organic compounds and polymers, an understanding of chemical structures, chemical reaction mechanisms, as well as methods of organic and polymer synthesis."
"Organic electronic materials - synthesis, applications, properties",MSE-486,This course will introduce students to the structural requirements of charge transport in organic materials as well as synthetic methods for their preparation.
Organic semiconductors,MSE-478,"This course provides an introduction to organic semiconducting materials starting from fundamental optical and electronic properties of conjugated small molecules and polymers. Furthermore, electronic and optical properties in the solid sate and applications in optoelectronic devices are studied."
"Organisation, Èconomie et droit de la construction I",ENG-470,"The course gives an overview on the rules in the construction field regarding economy, organization and contracts for engineers and construction company. This course is essential for a successful professional activity with high responsibility from the economical and legal point of view."
"Organisation, Èconomie et droit de la construction II",ENG-471,"The knowledge gained in the the first part of the course ""Organisation, Èconomie et droit de la construction I"" is applied at a real case construction site where problems and accidents occurred. "
Organizational behavior,MGT-412,"This course provides key concepts and tools to understand and influence behaviors of individuals and groups in organizations. Participants will acquire essential knowledge for developing their leadership potential in areas such as decision making, influence, motivation and team dynamics."
Organometallic chemistry,CH-223,"Basic organometallic chemistry will be covered in this course. 1. Structure and bonding in organometallic compounds.2. reactivity of organometallic compounds, stoichiometric reactions, catalyzed reactions and reaction mechanisms. "
Ouvrages et amÈnagements hydrauliques,CIVIL-312,"Hydraulic structures and schemes  are vital for ensuring supply of  clean and renewable  energy as well as water in enough quantity and sufficient good quality  in order to fight against famine, poverty and deceases in the world. "
Ouvrages gÈotechniques,CIVIL-306,"Students know the different type of geotechnical structure (foundation, retaining walls etc,) their design and construction techniques. They are able to determine the different factors controlling the realisation of a geotechnical structure, and design these structures to satisfy the limit states."
Ouvrages hydrauliques et amÈnagements hydroÈlectriques,CIVIL-412,"Based on the course Hydraulic structures and schemes, the general design and layout of different hydroelectric power plants with the design of its hydraulic elements and the appurtenant hydraulic structures of dams is treated in detail. "
Packing and covering,MATH-465,"How many objects of a given shape and size can be packed into a large box of fixed volume? We give a systematic introduction into the rich theory that has grown out of the above questions. Connections to number theory, coding theory, potential theory, and robotics will also be presented."
Parabolic and hyperbolic PDE's,MATH-469,"1. PARABOLIC EQUATIONS: Existence and uniqueness of weak-solutions, Maximum principle.Fundamental solutions. Infinite speed of propagation.2. HYPERBOLIC EQUATIONS:  Existence and uniqueness of weak solutions. Fundamental solutions.Finite speed of propagation."
Parallel and high-performance computing,MATH-454,"This course provides insight into a broad variety of High Performance Computing (HPC) concepts and the majority of modern HPC architectures. Moreover, the student will learn to have a feeling about what architectures are suited for several types of algorithms."
Parallelism and concurrency,CS-206,"The course introduces parallel programming models, algorithms, and data structures, map-reduce frameworks and their use for data analysis, as well as shared-memory concurrency."
Particle-based methods,ME-476,This course provides an introduction to particle-based methods for the numerical resolution of partial differential equations describing continuum phenomena or for the simulation of particulate flows. Details are given for Smoothed Particle Hydrodynamics (SPH) and the Discrete Element Method (DEM).
Particle detection,PHYS-440,"The course will cover the physics of particle detectors. It will introduce the experimental techniques used in nuclear and particle physics. The lecture includes the interaction of particles with matter, scintillators, gas chambers, silicon, and detectors for particle ID."
Particules ÈlÈmentaires I,PHYS-415,"Presentation of particle properties, their symmetries and  interactions.Introduction to quantum electrodynamics and to the Feynman rules."
Particules ÈlÈmentaires II,PHYS-416,Presentation of the electro-weak and strong interaction theories that constitute the Standard Model of particles. The course also discusses the new theories proposed to solve the problems of the Standard Model.
Pattern classification and machine learning,CS-433,"Pattern classification occupies a central role in machine learning from data. In this course, basic principles and methods underlying machine learning will be introduced. The student will learn few basic methods and their relations to each other. "
Performance evaluation,COM-503,In this course you will learn the methods and techniques that are used to perform a good performance evaluation during a research or development project.
Personal interaction studio,CS-489,"As we move towards a design economy, the success of new products, systems and services depend increasingly on the excellence of personal experience. This course introduces students to the notion andpractice of experience and interaction design following a hands-on, studio-based approach."
Pharmaceutical biotechnology,BIOENG-437,The course will try to trace back the thinking and approach to therapy and prevention of disease over time.
Pharmacological chemistry,CH-414,The molecular and chemical basis of diseases and therapies are discussed.
Pharmacology and pharmacokinetics,BIO-478,"This course introduces the student to the fudamentals in pharmacology, pharmacokinÈtics, drug-receptor interactions. Pharmacogenetics and chronopharmacology are presented in a practical contexte in order to examplify the current issues in the domain to develop personalized medicine"
PhÈnomËnes de transfert en science des matÈriaux,MSE-209,"This course encompasses transport of heat by conduction, convection and radiation as well as solid-state diffusion. Based on phenomenological rules (Fourier and Fick equations) 1-D and simple 2-D solutions problems will be treated. In addition, atomistic models of atom transport will be discussed. "
Philosophie des sciences A,HUM-216,"Identify and understand central issues in the philosophy of biology, for instance the challenge to define life. Evaluate and compare crucial arguments in the debates. Synthesize the discussion and thus formulate and defend one's own position."
Philosophie des sciences B,HUM-238,"This course offers to identify and understand central issues in the philosophy of science, for instance the debate on different models of scientific explanation. Evaluate and compare crucial arguments in the debates. Present a position/a debate and manage the discussion."
"Philosophie, ÈpistÈmologie et histoire des sciences",HUM-315,Philosophy of nature : Physics and philosophy in the 20th century. The course considers the philosophy of physics from Newton via Einstein to quantum physics
"Philosophy, epistemology and history of science I",HUM-417(a),"The course considers central themes in the philosophy of science, such as scientific realism and the ontology of physics. Starting from the debate between Leibniz and Newton about space and time, we move on to the transition from classical to quantum physics and the explanatory role of mathematics."
"Philosophy, epistemology and history of science II",HUM-417(b),"The course considers central themes in the philosophy of science, such as scientific realism and the ontology of physics. Starting from the debate between Leibniz and Newton about space and time, we move on to the transition from classical to quantum physics and the explanatory role of mathematics."
Philosophy of life sciences I,HUM-429(a),"Understand and discuss central issues in the philosophy of life sciences, for instance that of reductionism. Transpose problems and arguments from one debate to another. Evaluate the impact of the scientific worldview to the proper understanding of our human nature."
Philosophy of life sciences II,HUM-429(b),"Evaluate the main positions in a chosen philosophical debate. Develop, possibly in a group, a solid approach to one or more philosophical problems of that debate. Defend your analysis and conclusions."
Photochemistry I,CH-442,This course presents the theoretical bases of electronic spectroscopy and molecular photophysics. The principles of the reactivity of excited states of molecules and solids under irradiation are detailled. The main classes of industrial and  natural photochemical processes are finally described.
Photochemistry II,CH-443,"Following ""Photochemistry I"", this course introduces the current theoretical models regarding the dynamics of electron transfer. It focuses then on photoredox processes at the surface of solids. Current technological applications, as well as the most recent advances in the field are presented."
Photo-interprÈtation,ENV-241,"Based on theoretical and applied knowledge, the student gets familiar with the tools of image interpretation: maps, aerial photos, digital elevation models, specific software. He wraps up this course with the analysis of a study case in situ, in the forest ""Bois de Suchy"", near Yverdon."
Photomedicine,CH-448,"The most important clinical diagnostic and therapeutic applications of light will be described. In addition, this course will address the principles governing the interactions between light and biological tissues, their optical properties and basic concepts in photobiology and photochemistry. "
Photonic micro- and nanosystems,MICRO-504,"This course aims at providing engineering and design guidelines for selected Photonic Micro- and Nanosystems. In particular, Optical MEMS and Integrated Photonics will be reviewed. Standard fabrication processes and related design approaches will be introduced and product aspects will be discussed."
Photonic systems and technology,EE-440,The physics of optical communication components and their applications to communication systems will be covered. The course is intended to present the operation principles of contemporary optical communication systems employing optical fibers and modern optoelectronic devices.
Physical and computational organic chemistry,CH-431,"This course introduces computational electronic structure methods and their broad applications to organic chemistry. It also discusses physical organic concepts to illustrate the stability and reactivity of organic molecules."
Physical biology of the Cell I,BIO-243,"The course Physical Biology of the Cell introduces quantitative descriptions of cellular structureand molecular interactions. The course aims to integrate quantitative methods with cell biology."
Physical biology of the Cell II,BIO-244,The basic concepts of statistical physics and physical chemistry are introduced to quantitatively model and predict the properties of biological systems. The main focus is on the molecular origin of thermodynamics and kinetic properties of the cellular constituents.
Physical chemistry of polymeric materials,MSE-431,The student has a basic understanding of the physical and physicochemical principles which result from the chainlike structure of synthetic macromolecules. The student can predict major characteristics of a polymer from its chemical structure and molecular architecture.
Physical models for micro and nanosystems,EE-536,"Students will learn simple theoretical models, the theoretical background of finite element modeling as well as its application to modeling charge, mass and heat transport in electronic, fluidic and electromechanical micro and nanosystem."
Physics against cancer : The physics of imaging and treating cancer,ETH-443,
Physics and chemistry of the atmosphere,ENV-320,The course provides an introduction to the physical and chemical processes that govern the atmospheric dynamics at small and large scales. The basis is laid for an in depth understanding of our atmospheric environment and the climate system. 
Physics and hydrology of snow,ENV-525,"This course covers principles of snow physics, snow hydrology, snow-atmosphere interaction and snow modeling. It transmits sound understanding of physical processes within the snow and at its interfaces with the atmosphere and the ground, including field, laboratory, and modeling techniques."
"Physics of atoms, nuclei and elementary particles",PHYS-411,"In this lecture, symmetry and conservation law are applied to derive wave functions for elementary particles. Relativistic wave functions are analysed and applied for massive and massless particles. Different ideas on antiparticles are explored. "
Physics of manufacturing I,MICRO-301,
Physics of manufacturing II,MICRO-302,
Physics of materials,PHYS-307,This course illustrates some selected chapters of materials physics needed to understand the mechanical and structural properties of solids. This course deals in particular with the physics of dislocation. The diffusion and phase transformations are complementary bases.
Physics of photonic semiconductor devices,PHYS-434,"Series of lectures covering the optical properties of direct bandgap semiconductors including processes such as absorption, spontaneous and stimulated emission; the physics of heterostructures and the properties of the main light emitting devices that are light-emitting diodes and laser diodes.  "
Physiologie par SystËmes I,BIO-376,"In this Course, students will learn basic principles that lead to an understanding of the physiology of the nervous system and of the immune system. Each system will be approached with the essential notions of anatomy and histology, together with the experimental methods used in the respective field"
Physiologie par SystËmes II,BIO-377,"The course aims at knowing and understanding the function of the cardiovascular, urinary, respiratory, gastrointestinal, basal metabolism and its regulation in the frame of a biomedical and scientific approach. "
Physique avancÈe I,PHYS-100,"General Physics (advanced) covers the mechanics of point masses and solids, with an introduction to relativity.  The purpose is to develop a know-how in describing physical phenomena with mathematical tools. "
Physique avancÈe II,PHYS-105,"This course of thermodynamics includes the basic principles, applications to thermostatics and the phenomenology of irreversible processes. An introduction to statistics is used to calculate heat capacities, discuss black body radiation and give a statistical definition of entropy."
Physique des nouveaux matÈriaux,PHYS-328,"New materials have central role in the physics of solids, and they are very important to find new functionalities for applications. This lecture will focuse on the synthesis, characterization, to discuss the major physical properties and to highlight the possible applications. "
Physique des plasmas I,PHYS-325,Introduction to plasma physics aimed at giving an overall view of the essential properties specific to a plasma. The models commonly used to describe its behaviour are presented and illustrated with examples. The relation between plasma physics and a thermonuclear reactor is presented.
Physique du b‚timent I,PHYS-115,This course covers the main physical phenomenon occurring within buildings and will allow the student to acquire basic knowledge in the field.
Physique du b‚timent II,PHYS-116,"This course provides an introduction to the principles underlying the phenomena of thermal radiation, light, color and sound, with a special focus on building applications. "
Physique du b‚timent III,PHYS-217,"This course aims at studying non-transparent elements of the building enveloppe. The aspects of  heat (transmission and storage), humidity (condensation and evaporation) and acoustics are treated and the object of exercises to apply associated physical concepts."
Physique du b‚timent IV,PHYS-218,"This course aims at studying transparent elements of the building enveloppe. The aspects of physical parameters, protections (sunshades and night time) and of lighting (day and electric) are treated and the object of exercises to applyassociated physical concepts."
Physique du b‚timent V,PHYS-335,This course covers rational energy management in buildings and will enable the students to get acquainted with key operational aspects of the domain. 
Physique du b‚timent VI,PHYS-336,This course covers the energy design and dimensioning of buildings and should enable the students to get acquainted with the key operational aspects of the domain. 
Physique du solide I,PHYS-309,"This lecture gives an introduction to Solid State Physics, namely to their crystal and electronic structure, their magnetic properties, as well as to their thermal and electric conductance. The level is that of Ashcroft & Mermin. The lecture is conceived for Physics Students in their 3rd year."
Physique du solide III,PHYS-419,The aim of this course is to provide an introduction to the theory of a few remarkable phenomena of condensed matter physics ranging from the Quantum Hall effects to superconductivity.
Physique gÈnÈrale I,PHYS-101(a),"Give the student the basic notions that will allow him or her to have a better understanding of physical phenomena, such as the mechanic of point masses. Acquire the capacity to analyse quantitatively the consequences of these effects with appropriate theoretical tools."
Physique gÈnÈrale I,PHYS-101(b),"Give the student the basic notions that will allow him or her to have a better understanding of physical phenomena, such as the mechanics of point masses. Acquire the capacity to analyse quantitatively the consequences of these effects with appropriate theoretical tools."
Physique gÈnÈrale I,PHYS-101(c),"Give the student the basic notions that will allow him or her to have a better understanding of physical phenomena, such as the mechanic of point masses. Acquire the capacity to analyse quantitatively the consequences of these effects with appropriate theoretical tools."
